date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:55	241568/241568	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:07:54%20GMT	https://dlims.punjab.gov.pk/	./dlims/dlims.punjab.gov.pk/index.html	(from )
15:07:55	199/199	---M--	403	error ('Forbidden')	text/html	date:Sat,%2013%20Dec%202025%2010:07:54%20GMT	https://dlims.punjab.gov.pk/robots.txt		(from )
15:07:57	203414/203414	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2231a96-6194915190531%22	https://dlims.punjab.gov.pk/theme_new/assets/images/favicon.ico	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/favicon.ico	(from https://dlims.punjab.gov.pk/)
15:07:57	232948/232948	---M--	200	added ('OK')	text/css	etag:%2238df4-61949151893e9%22	https://dlims.punjab.gov.pk/theme_new/assets/css/bootstrap.min.css	./dlims/dlims.punjab.gov.pk/theme_new/assets/css/bootstrap.min.css	(from https://dlims.punjab.gov.pk/)
15:07:58	23814/23814	---M--	200	added ('OK')	text/css	etag:%225d06-643dcebee54d8%22	https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css	./dlims/dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css	(from https://dlims.punjab.gov.pk/)
15:07:58	9142/9142	---M--	200	added ('OK')	image/png	etag:%2223b6-643dcebee8f6f%22	https://dlims.punjab.gov.pk/theme_new/assets/images/top-bar-animation.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/top-bar-animation.png	(from https://dlims.punjab.gov.pk/)
15:07:59	13296/13296	---M--	200	added ('OK')	image/svg+xml	etag:%2233f0-643dcebee6478%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak-logo-new-top.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak-logo-new-top.svg	(from https://dlims.punjab.gov.pk/)
15:08:00	36373/36373	---M--	200	added ('OK')	image/svg+xml	etag:%228e15-6194915190919%22	https://dlims.punjab.gov.pk/theme_new/assets/images/image%202.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/image%202.svg	(from https://dlims.punjab.gov.pk/)
15:08:01	26290/26290	---M--	200	added ('OK')	image/svg+xml	etag:%2266b2-643dcebee31b0%22	https://dlims.punjab.gov.pk/theme/assets/media/images/dastak-logo-new-nav.svg	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/dastak-logo-new-nav.svg	(from https://dlims.punjab.gov.pk/)
15:08:02	18044/18044	---M--	200	added ('OK')	image/svg+xml	etag:%22467c-643dcebee31b0%22	https://dlims.punjab.gov.pk/theme/assets/media/images/dastak-logo-dark.svg	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/dastak-logo-dark.svg	(from https://dlims.punjab.gov.pk/)
15:08:04	21067/21067	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:03%20GMT	https://dlims.punjab.gov.pk/downloads	./dlims/dlims.punjab.gov.pk/downloads.html	(from https://dlims.punjab.gov.pk/)
15:08:06	26329/26329	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:05%20GMT	https://dlims.punjab.gov.pk/elicense	./dlims/dlims.punjab.gov.pk/elicense.html	(from https://dlims.punjab.gov.pk/)
15:08:06	349919/349919	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:04%20GMT	https://dlims.punjab.gov.pk/fee_structure	./dlims/dlims.punjab.gov.pk/fee_structure.html	(from https://dlims.punjab.gov.pk/)
15:08:07	21437/21437	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:06%20GMT	https://dlims.punjab.gov.pk/track	./dlims/dlims.punjab.gov.pk/track.html	(from https://dlims.punjab.gov.pk/)
15:08:08	22745/22745	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:07%20GMT	https://dlims.punjab.gov.pk/verify	./dlims/dlims.punjab.gov.pk/verify.html	(from https://dlims.punjab.gov.pk/)
15:08:09	13943/13943	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:08%20GMT	https://dlims.punjab.gov.pk/login	./dlims/dlims.punjab.gov.pk/login.html	(from https://dlims.punjab.gov.pk/)
15:08:09	6428/6428	---M--	200	added ('OK')	image/png	etag:%22191c-643dcebee7fd0%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_hero_logo.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_hero_logo.png	(from https://dlims.punjab.gov.pk/)
15:08:10	20965/20965	---M--	200	added ('OK')	image/png	etag:%2251e5-643dcebee7fd0%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_hero_powered.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_hero_powered.png	(from https://dlims.punjab.gov.pk/)
15:08:11	3791/3791	---M--	200	added ('OK')	image/png	etag:%22ecf-619491518fd61%22	https://dlims.punjab.gov.pk/theme_new/assets/images/affect_less.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/affect_less.png	(from https://dlims.punjab.gov.pk/)
15:08:12	3451/3451	---M--	200	added ('OK')	image/png	etag:%22d7b-61949151910e9%22	https://dlims.punjab.gov.pk/theme_new/assets/images/real_time.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/real_time.png	(from https://dlims.punjab.gov.pk/)
15:08:13	3615/3615	---M--	200	added ('OK')	image/png	etag:%22e1f-61949151910e9%22	https://dlims.punjab.gov.pk/theme_new/assets/images/securepayment.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/securepayment.png	(from https://dlims.punjab.gov.pk/)
15:08:15	85217/85217	---M--	200	added ('OK')	image/png	etag:%2214ce1-619491518fd61%22	https://dlims.punjab.gov.pk/theme_new/assets/images/about_us.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/about_us.png	(from https://dlims.punjab.gov.pk/)
15:08:16	172609/172609	---M--	200	added ('OK')	image/png	etag:%222a241-643dcebee8b87%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_service_info.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_service_info.png	(from https://dlims.punjab.gov.pk/)
15:08:16	11126/11126	---M--	200	added ('OK')	image/png	etag:%222b76-643dcebee83b7%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_powered.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_powered.png	(from https://dlims.punjab.gov.pk/)
15:08:18	10315/10315	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:17%20GMT	https://dlims.punjab.gov.pk/register	./dlims/dlims.punjab.gov.pk/register.html	(from https://dlims.punjab.gov.pk/)
15:08:18	21151/21151	---M--	200	added ('OK')	image/svg+xml	etag:%22529f-643dcebee83b7%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_logo.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_logo.svg	(from https://dlims.punjab.gov.pk/)
15:08:20	271629/271629	---M--	200	added ('OK')	image/svg+xml	etag:%224250d-643dcebee7be8%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_footer_logo.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_landing_footer_logo.svg	(from https://dlims.punjab.gov.pk/)
15:08:20	1325/1325	---M--	200	added ('OK')	image/svg+xml	etag:%2252d-62ba92b8de243%22	https://dlims.punjab.gov.pk/theme_new/assets/images/emerg-num.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/emerg-num.svg	(from https://dlims.punjab.gov.pk/)
15:08:21	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-62ba92b8de243%22	https://dlims.punjab.gov.pk/theme_new/assets/images/phone-num.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/phone-num.svg	(from https://dlims.punjab.gov.pk/)
15:08:22	815/815	---M--	200	added ('OK')	image/svg+xml	etag:%2232f-62ba92b8de243%22	https://dlims.punjab.gov.pk/theme_new/assets/images/email.svg	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/email.svg	(from https://dlims.punjab.gov.pk/)
15:08:24	153272/153272	---M--	200	added ('OK')	image/jpeg	etag:%22256b8-643dcebee1658%22	https://dlims.punjab.gov.pk/assets/images/dastak_new.jpg	./dlims/dlims.punjab.gov.pk/assets/images/dastak_new.jpg	(from https://dlims.punjab.gov.pk/)
15:08:25	87533/87533	---M--	200	added ('OK')	application/javascript	etag:%22155ed-6194915158e7b%22	https://dlims.punjab.gov.pk/theme/assets/js/jquery.min.js	./dlims/dlims.punjab.gov.pk/theme/assets/js/jquery.min.js	(from https://dlims.punjab.gov.pk/)
15:08:26	80663/80663	---M--	200	added ('OK')	application/javascript	etag:%2213b17-61949151918b9%22	https://dlims.punjab.gov.pk/theme_new/assets/js/bootstrap.bundle.min.js	./dlims/dlims.punjab.gov.pk/theme_new/assets/js/bootstrap.bundle.min.js	(from https://dlims.punjab.gov.pk/)
15:08:27	3162/3162	---M--	200	added ('OK')	image/png	etag:%22c5a-643dcebee8f6f%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dastak_new_btn_bg.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dastak_new_btn_bg.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:28	170597/170597	---M--	200	added ('OK')	image/png	etag:%2229a65-643dcebee6478%22	https://dlims.punjab.gov.pk/theme_new/assets/images/background_landing_page2.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/background_landing_page2.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:28	6235/6235	---M--	200	added ('OK')	image/png	etag:%22185b-61949151910e9%22	https://dlims.punjab.gov.pk/theme_new/assets/images/seo3-sectionbg1.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/seo3-sectionbg1.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:29	8668/8668	---M--	200	added ('OK')	image/png	etag:%2221dc-6194915190149%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg2.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg2.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:30	13352/13352	---M--	200	added ('OK')	image/png	etag:%223428-6194915190149%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg3.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg3.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:31	2738/2738	---M--	200	added ('OK')	image/png	etag:%22ab2-643dcebee8f6f%22	https://dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg5.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/dlims-sectionbg5.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:32	70745/70745	---M--	200	added ('OK')	image/png	etag:%2211459-6194915190919%22	https://dlims.punjab.gov.pk/theme_new/assets/images/footer_img.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/footer_img.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:33	6147/6147	---M--	200	added ('OK')	image/png	etag:%221803-619fd4eb54d19%22	https://dlims.punjab.gov.pk/theme_new/assets/images/downloads_bg.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/downloads_bg.png	(from https://dlims.punjab.gov.pk/theme_new/assets/css/custom_style.css)
15:08:35	99271/99271	---M--	200	added ('OK')	application/pdf	etag:%22183c7-619fd4eb54931%22	https://dlims.punjab.gov.pk/theme/assets/downloads/medical.pdf	./dlims/dlims.punjab.gov.pk/theme/assets/downloads/medical.pdf	(from https://dlims.punjab.gov.pk/downloads)
15:08:36	38618/38618	---M--	200	added ('OK')	image/png	etag:%2296da-619fd4eb54d19%22	https://dlims.punjab.gov.pk/theme_new/assets/images/download_page.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/download_page.png	(from https://dlims.punjab.gov.pk/downloads)
15:08:36	378/378	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:08:36%20GMT	https://dlims.punjab.gov.pk/applications-form-regular-renewal	./dlims/dlims.punjab.gov.pk/applications-form-regular-renewal	(from https://dlims.punjab.gov.pk/fee_structure)
15:08:37	378/378	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:08:37%20GMT	https://dlims.punjab.gov.pk/applications-form-regular-duplicate	./dlims/dlims.punjab.gov.pk/applications-form-regular-duplicate	(from https://dlims.punjab.gov.pk/fee_structure)
15:08:38	918/918	---M--	200	added ('OK')	image/png	etag:%22396-6194915190919%22	https://dlims.punjab.gov.pk/theme_new/assets/images/invalid-carrige-black.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/invalid-carrige-black.png	(from https://dlims.punjab.gov.pk/fee_structure)
15:08:39	378/378	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:08:39%20GMT	https://dlims.punjab.gov.pk/applications-form-international-renewal	./dlims/dlims.punjab.gov.pk/applications-form-international-renewal	(from https://dlims.punjab.gov.pk/fee_structure)
15:08:40	14424/14424	---M--	200	added ('OK')	image/png	etag:%223858-61949151914d1%22	https://dlims.punjab.gov.pk/theme_new/assets/images/verify_image.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/verify_image.png	(from https://dlims.punjab.gov.pk/elicense)
15:08:41	3097/3097	---M--	200	added ('OK')	application/javascript	etag:%22c19-6194915158e7b%22	https://dlims.punjab.gov.pk/theme/assets/js/jquery.mask.min.js	./dlims/dlims.punjab.gov.pk/theme/assets/js/jquery.mask.min.js	(from https://dlims.punjab.gov.pk/elicense)
15:08:42	17945/17945	---M--	200	added ('OK')	text/css	etag:%224619-619491514fdf3%22	https://dlims.punjab.gov.pk/theme/assets/bootstrapdatepicker/bootstrap-datepicker.css	./dlims/dlims.punjab.gov.pk/theme/assets/bootstrapdatepicker/bootstrap-datepicker.css	(from https://dlims.punjab.gov.pk/elicense)
15:08:44	52935/52935	---M--	200	added ('OK')	application/javascript	etag:%22cec7-619491514fdf3%22	https://dlims.punjab.gov.pk/theme/assets/bootstrapdatepicker/bootstrap-datepicker.js	./dlims/dlims.punjab.gov.pk/theme/assets/bootstrapdatepicker/bootstrap-datepicker.js	(from https://dlims.punjab.gov.pk/elicense)
15:08:44	24681/24681	---M--	200	added ('OK')	image/png	etag:%226069-6194915190919%22	https://dlims.punjab.gov.pk/theme_new/assets/images/frame.png	./dlims/dlims.punjab.gov.pk/theme_new/assets/images/frame.png	(from https://dlims.punjab.gov.pk/track)
15:08:47	85875/85875	---M--	200	added ('OK')	text/css	etag:%2214f73-6194915152503%22	https://dlims.punjab.gov.pk/theme/assets/css/bootstrap-icons.min.css	./dlims/dlims.punjab.gov.pk/theme/assets/css/bootstrap-icons.min.css	(from https://dlims.punjab.gov.pk/login)
15:08:47	32446/32446	---M--	200	added ('OK')	text/css	etag:%227ebe-643dcebee1e28%22	https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css	./dlims/dlims.punjab.gov.pk/theme/assets/css/custom_style.css	(from https://dlims.punjab.gov.pk/login)
15:08:48	280813/280813	---M--	200	added ('OK')	text/css	etag:%22448ed-6194915154443%22	https://dlims.punjab.gov.pk/theme/assets/css/bootstrap.css	./dlims/dlims.punjab.gov.pk/theme/assets/css/bootstrap.css	(from https://dlims.punjab.gov.pk/login)
15:08:48	5421/5421	---M--	200	added ('OK')	text/css	etag:%22152d-643dcebee25f8%22	https://dlims.punjab.gov.pk/theme/assets/css/style_dev.css	./dlims/dlims.punjab.gov.pk/theme/assets/css/style_dev.css	(from https://dlims.punjab.gov.pk/login)
15:08:49	1489/1489	---M--	200	added ('OK')	text/css	etag:%225d1-61949151553e3%22	https://dlims.punjab.gov.pk/theme/assets/css/responsive.css	./dlims/dlims.punjab.gov.pk/theme/assets/css/responsive.css	(from https://dlims.punjab.gov.pk/login)
15:08:51	183655/183655	---M--	200	added ('OK')	image/png	etag:%222cd67-643dcebee4150%22	https://dlims.punjab.gov.pk/theme/assets/media/images/dastak_new_right.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/dastak_new_right.png	(from https://dlims.punjab.gov.pk/login)
15:08:51	17632/17632	---M--	200	added ('OK')	image/png	etag:%2244e0-643dcebee3d68%22	https://dlims.punjab.gov.pk/theme/assets/media/images/dastak_new_login.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/dastak_new_login.png	(from https://dlims.punjab.gov.pk/login)
15:08:53	8011/8011	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2010:08:52%20GMT	https://dlims.punjab.gov.pk/password/reset	./dlims/dlims.punjab.gov.pk/password/reset.html	(from https://dlims.punjab.gov.pk/login)
15:08:53	68768/68768	---M--	200	added ('OK')	image/svg+xml	etag:%2210ca0-619491515f022%22	https://dlims.punjab.gov.pk/theme/assets/media/images/register_footer.svg	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/register_footer.svg	(from https://dlims.punjab.gov.pk/login)
15:08:55	20320/20320	---M--	200	added ('OK')	application/javascript	etag:%224f60-632f92f2a51d7%22	https://dlims.punjab.gov.pk/theme/assets/js/functions.js	./dlims/dlims.punjab.gov.pk/theme/assets/js/functions.js	(from https://dlims.punjab.gov.pk/login)
15:08:56	207731/207731	---M--	200	added ('OK')	application/javascript	etag:%2232b73-6194915156f3b%22	https://dlims.punjab.gov.pk/theme/assets/js/bootstrap.bundle.js	./dlims/dlims.punjab.gov.pk/theme/assets/js/bootstrap.bundle.js	(from https://dlims.punjab.gov.pk/login)
15:08:57	93129/93129	---M--	200	added ('OK')	image/png	etag:%2216bc9-6196ac2ee968c%22	https://dlims.punjab.gov.pk/theme/assets/media/images/login-car-img.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/login-car-img.png	(from https://dlims.punjab.gov.pk/register)
15:08:57	354/354	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:08:57%20GMT	https://dlims.punjab.gov.pk/theme/assets/css/fonts/bootstrap-icons.woff2?7141511ac37f13e1a387fb9fc6646256	./dlims/dlims.punjab.gov.pk/theme/assets/css/fonts/bootstrap-icons09cf.woff2	(from https://dlims.punjab.gov.pk/theme/assets/css/bootstrap-icons.min.css)
15:08:58	354/354	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:08:58%20GMT	https://dlims.punjab.gov.pk/theme/assets/css/fonts/bootstrap-icons.woff?7141511ac37f13e1a387fb9fc6646256	./dlims/dlims.punjab.gov.pk/theme/assets/css/fonts/bootstrap-icons09cf.woff	(from https://dlims.punjab.gov.pk/theme/assets/css/bootstrap-icons.min.css)
15:09:00	246994/246994	---M--	200	added ('OK')	image/svg+xml	etag:%223c4d2-619491515adbb%22	https://dlims.punjab.gov.pk/theme/assets/media/images/driving_car.svg	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/driving_car.svg	(from https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css)
15:09:00	354/354	---MCZ	302	error ('Found')	text/html	date:Sat,%2013%20Dec%202025%2010:09:00%20GMT	https://dlims.punjab.gov.pk/theme/assets/images/inner_content_bg.png	./dlims/dlims.punjab.gov.pk/theme/assets/images/inner_content_bg.png	(from https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css)
15:09:02	220281/220281	---M--	200	added ('OK')	image/png	etag:%2235c79-619491515b972%22	https://dlims.punjab.gov.pk/theme/assets/media/images/hands_image.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/hands_image.png	(from https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css)
15:09:03	40804/40804	---M--	200	added ('OK')	image/png	etag:%229f64-619491515ec3a%22	https://dlims.punjab.gov.pk/theme/assets/media/images/register_banner.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/register_banner.png	(from https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css)
15:09:04	384542/384542	---M--	200	added ('OK')	image/png	etag:%225de1e-619491515e082%22	https://dlims.punjab.gov.pk/theme/assets/media/images/psid_bg.png	./dlims/dlims.punjab.gov.pk/theme/assets/media/images/psid_bg.png	(from https://dlims.punjab.gov.pk/theme/assets/css/custom_style.css)
